GJD-2450000 flux err airmass sky dx dy baserun
8063.010029 1.003895 0.003964 1.3463 518.4 -2.877 -0.888 MSCT2_1711050263
8063.010654 0.998154 0.003941 1.3479 518.0 -2.219 -2.045 MSCT2_1711050264
8063.011279 1.005259 0.003960 1.3496 532.7 -2.638 -1.306 MSCT2_1711050265
8063.011904 1.001806 0.003977 1.3511 547.2 -2.555 -0.522 MSCT2_1711050266
8063.012541 1.006966 0.003923 1.3527 512.2 -2.839 -2.282 MSCT2_1711050267
8063.013166 0.995453 0.003901 1.3545 507.3 -2.267 -0.691 MSCT2_1711050268
8063.013802 1.001502 0.003921 1.3563 504.0 -2.868 -0.903 MSCT2_1711050269
8063.014427 1.001154 0.003898 1.3579 501.6 -3.129 -1.515 MSCT2_1711050270
8063.015052 1.008497 0.003914 1.3596 502.0 -2.510 -1.010 MSCT2_1711050271
8063.015689 0.998850 0.003891 1.3615 500.8 -2.386 -1.485 MSCT2_1711050272
8063.016314 1.000790 0.003906 1.3633 502.5 -2.236 -0.981 MSCT2_1711050273
8063.016950 0.999561 0.003911 1.3652 507.4 -2.614 -0.692 MSCT2_1711050274
8063.017587 0.997915 0.003891 1.3670 508.0 -3.658 -0.318 MSCT2_1711050275
8063.018212 0.999234 0.003908 1.3690 504.4 -1.968 -1.913 MSCT2_1711050276
8063.018848 0.996860 0.003885 1.3708 505.7 -2.253 -0.905 MSCT2_1711050277
8063.019473 1.001013 0.003937 1.3729 545.8 -2.463 -0.934 MSCT2_1711050278
8063.020098 1.003900 0.003905 1.3748 518.9 -2.848 -1.285 MSCT2_1711050279
8063.020735 0.993192 0.003862 1.3767 496.1 -2.837 -1.262 MSCT2_1711050280
8063.021348 1.002834 0.003883 1.3789 490.7 -2.264 -1.250 MSCT2_1711050281
8063.021985 1.002148 0.003873 1.3809 491.0 -3.011 -0.713 MSCT2_1711050282
8063.022598 1.003990 0.003889 1.3831 493.7 -2.277 -0.642 MSCT2_1711050283
8063.023223 0.998235 0.003865 1.3851 488.4 -2.416 -0.768 MSCT2_1711050284
8063.023860 0.994849 0.003859 1.3872 486.8 -3.045 -0.793 MSCT2_1711050285
8063.024485 0.996823 0.003839 1.3895 485.3 -2.950 -1.393 MSCT2_1711050286
8063.025122 1.004226 0.003874 1.3917 486.4 -2.460 -0.470 MSCT2_1711050287
8063.025747 0.995099 0.003852 1.3941 488.5 -2.754 -1.518 MSCT2_1711050288
8063.026372 1.003487 0.003885 1.3962 492.2 -2.892 -0.567 MSCT2_1711050289
8063.027008 1.003426 0.003901 1.3985 494.0 -2.773 -0.140 MSCT2_1711050290
8063.027645 1.005232 0.003899 1.4010 495.4 -1.817 -0.118 MSCT2_1711050291
8063.028270 0.999970 0.003880 1.4032 494.0 -2.568 -0.397 MSCT2_1711050292
8063.028895 0.998596 0.003880 1.4058 494.6 -3.717 0.665 MSCT2_1711050293
8063.029520 1.003356 0.003887 1.4081 495.4 -2.669 -1.112 MSCT2_1711050294
8063.030145 0.998633 0.003898 1.4105 498.2 -2.499 -0.988 MSCT2_1711050295
8063.030781 0.998411 0.003910 1.4131 496.3 -2.801 -0.366 MSCT2_1711050296
8063.031418 1.003288 0.003889 1.4158 498.1 -2.361 -1.319 MSCT2_1711050297
8063.032043 0.998402 0.003899 1.4183 501.8 -2.954 -1.151 MSCT2_1711050298
8063.032679 1.007447 0.003933 1.4210 502.9 -2.889 -1.626 MSCT2_1711050299
8063.033304 1.001966 0.003909 1.4235 501.7 -2.761 -0.501 MSCT2_1711050300
8063.033929 1.001118 0.003905 1.4261 503.3 -2.525 0.141 MSCT2_1711050301
8063.034566 1.005333 0.003904 1.4289 501.2 -2.364 -1.079 MSCT2_1711050302
8063.035191 1.001570 0.003890 1.4315 499.4 -3.903 -1.241 MSCT2_1711050303
8063.035828 0.994045 0.003862 1.4345 497.6 -2.496 -0.870 MSCT2_1711050304
8063.036453 1.001514 0.003902 1.4372 497.2 -2.805 -0.175 MSCT2_1711050305
8063.037078 1.006933 0.003891 1.4402 499.3 -3.162 -1.779 MSCT2_1711050306
8063.037714 0.995635 0.003884 1.4429 502.5 -2.672 -0.622 MSCT2_1711050307
8063.038351 1.001541 0.003954 1.4458 546.9 -3.031 -1.311 MSCT2_1711050308
8063.038976 0.992618 0.003951 1.4489 549.5 -2.664 -0.497 MSCT2_1711050309
8063.039612 0.999889 0.003912 1.4520 514.3 -3.154 -1.041 MSCT2_1711050310
8063.040237 0.997695 0.003905 1.4549 510.4 -2.923 -0.155 MSCT2_1711050311
8063.040874 1.004730 0.003943 1.4579 510.1 -2.506 -0.766 MSCT2_1711050312
8063.041510 1.001368 0.003929 1.4612 508.6 -3.738 -0.785 MSCT2_1711050313
8063.042135 0.998215 0.003922 1.4641 511.3 -2.746 -0.461 MSCT2_1711050314
8063.042772 1.005430 0.003924 1.4675 513.5 -2.966 -0.763 MSCT2_1711050315
8063.043397 1.003604 0.003917 1.4706 510.6 -3.407 -0.292 MSCT2_1711050316
8063.044022 0.997926 0.003912 1.4741 514.6 -3.363 -0.473 MSCT2_1711050317
8063.044659 1.006373 0.003951 1.4772 517.2 -3.389 -0.424 MSCT2_1711050318
8063.045272 1.002448 0.003935 1.4804 515.8 -2.804 -0.765 MSCT2_1711050319
8063.045909 0.997999 0.003924 1.4840 510.4 -3.202 0.732 MSCT2_1711050320
8063.046534 0.997352 0.003924 1.4872 506.3 -2.505 -1.884 MSCT2_1711050321
8063.047159 0.992412 0.003896 1.4906 507.3 -2.684 -0.412 MSCT2_1711050322
8063.047784 1.005896 0.003952 1.4943 512.1 -2.589 -0.040 MSCT2_1711050323
8063.048420 1.003352 0.003931 1.4976 514.6 -3.602 -0.641 MSCT2_1711050324
8063.049045 1.004487 0.003947 1.5014 513.5 -2.314 -0.766 MSCT2_1711050325
8063.049670 0.995281 0.003947 1.5049 516.4 -2.443 -0.141 MSCT2_1711050326
8063.050307 0.998023 0.003939 1.5087 520.1 -3.530 -0.989 MSCT2_1711050327
8063.050943 1.003971 0.003965 1.5123 527.4 -3.004 -0.712 MSCT2_1711050328
8063.051580 1.006175 0.003995 1.5162 530.7 -3.003 -0.058 MSCT2_1711050329
8063.052216 0.996803 0.003972 1.5199 533.5 -3.508 0.107 MSCT2_1711050330
8063.052841 1.006044 0.003993 1.5240 533.6 -3.078 -0.922 MSCT2_1711050331
8063.053466 1.002975 0.003993 1.5277 535.3 -3.707 0.258 MSCT2_1711050332
8063.054103 0.997736 0.003964 1.5318 527.7 -2.753 -1.397 MSCT2_1711050333
8063.054728 1.000708 0.003996 1.5356 532.3 -2.680 -1.763 MSCT2_1711050334
8063.055365 0.999926 0.004031 1.5399 567.3 -3.381 0.287 MSCT2_1711050335
8063.056001 1.000756 0.003992 1.5438 556.5 -3.803 0.375 MSCT2_1711050336
8063.056615 1.000900 0.003987 1.5477 540.4 -3.861 -0.454 MSCT2_1711050337
8063.057263 1.002925 0.004005 1.5521 545.5 -3.398 0.031 MSCT2_1711050338
8063.057888 0.997013 0.004002 1.5566 543.3 -2.843 -0.487 MSCT2_1711050339
8063.058524 1.000726 0.003993 1.5607 546.0 -3.966 -0.264 MSCT2_1711050340
8063.059161 1.005329 0.004011 1.5653 548.6 -3.203 0.376 MSCT2_1711050341
8063.059786 1.002259 0.004016 1.5694 553.3 -3.671 -0.087 MSCT2_1711050342
8063.060422 0.999585 0.004031 1.5737 553.9 -3.402 -0.140 MSCT2_1711050343
8063.061047 1.003690 0.004018 1.5784 543.7 -3.130 -0.332 MSCT2_1711050344
8063.061672 0.998936 0.004012 1.5828 546.0 -3.228 -0.882 MSCT2_1711050345
8063.062297 0.993353 0.004007 1.5872 548.3 -4.135 0.494 MSCT2_1711050346
8063.062934 1.001508 0.004015 1.5921 548.6 -3.654 -0.532 MSCT2_1711050347
8063.063559 1.002104 0.004020 1.5966 552.0 -3.368 -0.363 MSCT2_1711050348
8063.064184 1.003604 0.004022 1.6016 552.6 -3.097 -1.214 MSCT2_1711050349
8063.064821 1.000180 0.004024 1.6062 551.6 -3.456 0.913 MSCT2_1711050350
8063.065446 1.001712 0.004036 1.6113 566.7 -3.540 -0.066 MSCT2_1711050351
8063.066082 1.007028 0.004136 1.6160 640.2 -3.532 -0.030 MSCT2_1711050352
